trackerId1,"[['0'], [357.5, 271], ['0'], [358.5, 273], ['0'], [341.0, 270], ['0'], [359.0, 221], ['0'], [375.0, 224], ['0'], [375.5, 232], ['0'], [371.0, 248], ['0'], [357.0, 285], ['0'], [367.0, 230], ['0'], [358.0, 210], ['0'], [358.0, 264], ['0'], [359.5, 279], ['0'], [332.5, 278], ['0'], [378.0, 303], ['0'], [393.0, 305], ['0'], [360.5, 231], ['0'], [354.0, 226], ['0'], [355.0, 280], ['0'], [357.0, 288], ['0'], [356.5, 289], ['0'], [358.0, 288], ['0'], [369.5, 292], ['0'], [366.5, 287], ['0'], [330.0, 271], ['0'], [324.5, 276], ['0'], [326.0, 273], ['0'], [350.0, 263], ['0'], [411.5, 278], ['0'], [408.5, 224], ['0'], [361.5, 287], ['0'], [357.0, 285], ['0'], [359.5, 288], ['0'], [358.5, 243], ['0'], [301.0, 225], ['0'], [343.5, 205], ['0'], [418.5, 228], ['0'], [422.0, 308], ['0'], [415.0, 314], ['0'], [416.5, 311], ['0'], [416.0, 312], ['0'], [405.5, 278], ['0'], [384.5, 220], ['0'], [373.5, 209], ['0'], [372.0, 209], ['0'], [358.0, 223], ['0'], [357.0, 284], ['0'], [357.0, 287], ['0'], [361.0, 283], ['0'], [330.0, 219], ['0'], [304.0, 251], ['0'], [311.5, 217], ['0'], [378.0, 236], ['0'], [366.5, 285], ['0'], [356.5, 273], ['0'], [354.5, 278], ['0'], [357.5, 280], ['0'], [358.0, 280], ['0'], [360.5, 279]]"
timeId1,"['2019-12-23 18:10:44', '2019-12-23 18:10:45', '2019-12-23 18:10:45', '2019-12-23 18:10:46', '2019-12-23 18:10:46', '2019-12-23 18:10:47', '2019-12-23 18:10:47', '2019-12-23 18:10:48', '2019-12-23 18:10:48', '2019-12-23 18:10:49', '2019-12-23 18:10:50', '2019-12-23 18:10:50', '2019-12-23 18:10:51', '2019-12-23 18:10:51', '2019-12-23 18:10:52', '2019-12-23 18:10:52', '2019-12-23 18:10:53', '2019-12-23 18:10:53', '2019-12-23 18:10:54', '2019-12-23 18:10:55', '2019-12-23 18:10:55', '2019-12-23 18:10:56', '2019-12-23 18:10:56', '2019-12-23 18:10:57', '2019-12-23 18:10:57', '2019-12-23 18:10:58', '2019-12-23 18:10:59', '2019-12-23 18:10:59', '2019-12-23 18:11:00', '2019-12-23 18:11:00', '2019-12-23 18:11:01', '2019-12-23 18:11:02', '2019-12-23 18:11:02', '2019-12-23 18:11:03', '2019-12-23 18:11:03', '2019-12-23 18:11:04', '2019-12-23 18:11:04', '2019-12-23 18:11:05', '2019-12-23 18:11:06', '2019-12-23 18:11:06', '2019-12-23 18:11:07', '2019-12-23 18:11:07', '2019-12-23 18:11:08', '2019-12-23 18:11:08', '2019-12-23 18:11:09', '2019-12-23 18:11:10', '2019-12-23 18:11:10', '2019-12-23 18:11:11', '2019-12-23 18:11:11', '2019-12-23 18:11:12', '2019-12-23 18:11:13', '2019-12-23 18:11:13', '2019-12-23 18:11:14', '2019-12-23 18:11:14', '2019-12-23 18:11:15', '2019-12-23 18:11:15', '2019-12-23 18:11:16', '2019-12-23 18:11:17']"
trackerId2,"[['0'], [546.0, 249], ['0'], [534.5, 248], ['0'], [535.0, 248], ['0'], [536.0, 249], ['0'], [535.0, 247], ['0'], [536.0, 247], ['0'], [535.0, 248], ['0'], [535.0, 247], ['0'], [534.0, 247], ['0'], [535.5, 248], ['0'], [536.5, 248], ['0'], [535.5, 247], ['0'], [536.0, 248], ['0'], [535.5, 248], ['0'], [534.0, 245], ['0'], [533.5, 243], ['0'], [533.0, 242], ['0'], [530.5, 241], ['0'], [526.0, 241], ['0'], [520.0, 240], ['0'], [524.5, 240], ['0'], [527.0, 240], ['0'], [525.5, 241], ['0'], [524.0, 242], ['0'], [522.5, 240], ['0'], [527.0, 244], ['0'], [529.0, 243], ['0'], [526.0, 244], ['0'], [528.0, 244], ['0'], [526.0, 243]]"
timeId2,"['2019-12-23 18:10:46', '2019-12-23 18:10:47', '2019-12-23 18:10:47', '2019-12-23 18:10:48', '2019-12-23 18:10:48', '2019-12-23 18:10:49', '2019-12-23 18:10:51', '2019-12-23 18:10:52', '2019-12-23 18:10:52', '2019-12-23 18:10:53', '2019-12-23 18:10:53', '2019-12-23 18:10:55', '2019-12-23 18:10:55', '2019-12-23 18:10:56', '2019-12-23 18:10:56', '2019-12-23 18:10:57', '2019-12-23 18:10:58', '2019-12-23 18:10:59', '2019-12-23 18:11:00', '2019-12-23 18:11:00', '2019-12-23 18:11:01', '2019-12-23 18:11:02', '2019-12-23 18:11:02', '2019-12-23 18:11:03', '2019-12-23 18:11:03', '2019-12-23 18:11:04', '2019-12-23 18:11:05', '2019-12-23 18:11:06', '2019-12-23 18:11:06', '2019-12-23 18:11:07']"
trackerId6,"[['0'], [543.5, 249]]"
timeId6,['2019-12-23 18:10:59']
trackerId9,[]
timeId9,[]
trackerId15,[]
timeId15,[]
trackerId16,"[['0'], [513.5, 244]]"
timeId16,['2019-12-23 18:11:10']
trackerId17,"[['0'], [522.0, 247], ['0'], [521.0, 246], ['0'], [520.5, 247], ['0'], [520.5, 246], ['0'], [521.0, 246], ['0'], [520.5, 245], ['0'], [521.0, 245], ['0'], [521.0, 245], ['0'], [521.5, 246]]"
timeId17,"['2019-12-23 18:11:12', '2019-12-23 18:11:13', '2019-12-23 18:11:13', '2019-12-23 18:11:14', '2019-12-23 18:11:14', '2019-12-23 18:11:15', '2019-12-23 18:11:15', '2019-12-23 18:11:16', '2019-12-23 18:11:17']"
